LineId,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,linenumber,lineType,description,amount,itemDescription,pONumber,invoiceHeaderId
1,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,23,GOODS,iNVOICE CREATEDITEM3444,333,iNVOICE CREATEDITEM3444,PO176,1
2,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,24,GOODS,DFSDFD CVCXVC,388,DFSDFD CVCXVC,PO17644343,1
3,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,25,GOODS,DSFDSDSFEERERE,443,DSFDSDSFEERERE,8UHHHH,1
4,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,26,GOODS,DSFDFCXVCXV,498,DSFDFCXVCXV,PO176,2
5,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,27,GOODS,iNVOICE CREATEDITEM3444,553,iNVOICE CREATEDITEM3444,PO17644343,3
6,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,28,GOODS,DFSDFD CVCXVC,608,DFSDFD CVCXVC,8UHHHH,4
7,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,29,GOODS,DSFDSDSFEERERE,663,DSFDSDSFEERERE,PO176,2
8,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,30,GOODS,DSFDFCXVCXV,718,DSFDFCXVCXV,PO17644343,3
9,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,31,GOODS,iNVOICE CREATEDITEM3444,773,iNVOICE CREATEDITEM3444,8UHHHH,4
10,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,32,GOODS,DFSDFD CVCXVC,828,DFSDFD CVCXVC,PO176,2
11,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,33,GOODS,DSFDSDSFEERERE,883,DSFDSDSFEERERE,PO17644343,3
12,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,34,GOODS,DSFDFCXVCXV,938,DSFDFCXVCXV,8UHHHH,4
13,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,35,GOODS,iNVOICE CREATEDITEM3444,993,iNVOICE CREATEDITEM3444,PO176,2
14,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,36,GOODS,DFSDFD CVCXVC,1048,DFSDFD CVCXVC,PO17644343,3
15,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,37,GOODS,DSFDSDSFEERERE,1103,DSFDSDSFEERERE,8UHHHH,4
16,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,38,GOODS,DSFDFCXVCXV,1158,DSFDFCXVCXV,PO176,5
17,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,39,GOODS,iNVOICE CREATEDITEM3444,1213,iNVOICE CREATEDITEM3444,PO17644343,5
18,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,40,GOODS,DFSDFD CVCXVC,1268,DFSDFD CVCXVC,8UHHHH,6
19,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,41,GOODS,DSFDSDSFEERERE,1323,DSFDSDSFEERERE,PO176,6
20,2026-06-19T14:58:32,2026-06-19T14:58:32.022,bharath9lingampeta@gmail.com,bharath9lingampeta@gmail.com,42,GOODS,DSFDFCXVCXV,1378,DSFDFCXVCXV,PO176,6
